ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,neighborhood
11824027,JC428169,09/10/2019 08:45:00 PM,026XX W 21ST ST,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,SIDEWALK,True,True,1023,10,24,30,04B,1159015.0,1889970.0,2019,09/30/2019 03:44:10 PM,41.853806532,-87.691840034,"(41.853806532, -87.691840034)",Little Village
11824174,JC428204,09/10/2019 08:45:00 PM,008XX N CLARK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,1832,18,2,8,07,1175387.0,1906013.0,2019,09/30/2019 03:44:10 PM,41.897478161,-87.631267403,"(41.897478161, -87.631267403)",River North
11824004,JC428176,09/10/2019 08:43:00 PM,017XX N LATROBE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,False,False,2532,25,37,25,15,1141130.0,1910968.0,2019,09/17/2019 03:49:10 PM,41.911775572,-87.756967805,"(41.911775572, -87.756967805)",Austin
11824042,JC428174,09/10/2019 08:38:00 PM,051XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,231,2,3,40,08B,1179800.0,1870899.0,2019,09/17/2019 03:49:10 PM,41.801022829,-87.616136316,"(41.801022829, -87.616136316)",Washington Park
11823992,JC428188,09/10/2019 08:34:00 PM,077XX N PAULINA ST,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,2422,24,49,1,06,1163657.0,1951173.0,2019,09/17/2019 03:49:10 PM,42.021654571,-87.673072022,"(42.021654571, -87.673072022)",Rogers Park
11824003,JC428167,09/10/2019 08:33:00 PM,040XX W GRAND AVE,0560,ASSAULT,SIMPLE,RESTAURANT,True,False,2534,25,26,23,08A,1149442.0,1908989.0,2019,09/17/2019 03:49:10 PM,41.906187671,-87.72648318,"(41.906187671, -87.72648318)",Humboldt Park
11824496,JC428628,09/10/2019 08:30:00 PM,005XX N HOMAN AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1121,11,27,23,06,1153615.0,1903476.0,2019,09/17/2019 03:49:10 PM,41.890977441,-87.711300919,"(41.890977441, -87.711300919)",Humboldt Park
11826190,JC430476,09/10/2019 08:30:00 PM,011XX S STATE ST,0810,THEFT,OVER $500,STREET,False,False,123,1,4,32,06,1176517.0,1895340.0,2019,09/17/2019 03:49:10 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)",Loop
11826281,JC430772,09/10/2019 08:30:00 PM,017XX W DEVON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,False,2432,24,40,1,14,1163437.0,1942555.0,2019,09/17/2019 03:49:10 PM,41.998011248,-87.674125836,"(41.998011248, -87.674125836)",Rogers Park
11824057,JC428225,09/10/2019 08:30:00 PM,009XX S AUSTIN BLVD,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,1513,15,29,25,08B,1136517.0,1895636.0,2019,09/17/2019 03:49:10 PM,41.869786389,-87.774281815,"(41.869786389, -87.774281815)",Austin
11824448,JC428696,09/10/2019 08:30:00 PM,024XX E 106TH ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,434,4,7,51,08B,1194286.0,1835214.0,2019,09/17/2019 03:49:10 PM,41.702756403,-87.564182005,"(41.702756403, -87.564182005)",South Deering
11825124,JC429486,09/10/2019 08:30:00 PM,011XX W LAKE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1224,12,27,28,06,1168963.0,1901609.0,2019,09/17/2019 03:49:10 PM,41.885535116,-87.654989672,"(41.885535116, -87.654989672)",West Loop
