trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,start_neighborhood,end_neighborhood
9284962,2016,4,16,4,8,Subscriber,Male,2016-04-22 08:48:00,2016-04-22 08:59:00,10.866666666666667,44.1,rain or snow,303,Broadway & Cornelia Ave,41.945512,-87.64598000000002,15.0,293,Broadway & Wilson Ave,41.965485,-87.657238,19.0,Lake View,Uptown
13711590,2017,4,16,2,6,Subscriber,Male,2017-04-19 06:34:35,2017-04-19 06:48:54,14.316666666666666,64.9,cloudy,96,Desplaines St & Randolph St,41.88461618962,-87.6445705849,23.0,173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.62174300000002,15.0,West Loop,Streeterville
7133736,2015,8,35,2,17,Subscriber,Male,2015-08-26 17:51:00,2015-08-26 18:04:00,13.166666666666666,64.9,cloudy,37,Dearborn St & Adams St,41.87935636,-87.62979104,19.0,99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19.0,Loop,Streeterville
11255815,2016,8,32,2,20,Subscriber,Male,2016-08-10 20:45:00,2016-08-10 20:51:08,6.15,81.0,cloudy,259,California Ave & Francis Pl,41.918121,-87.696972,15.0,259,California Ave & Francis Pl,41.918121,-87.696972,15.0,Logan Square,Logan Square
7803481,2015,10,41,1,7,Subscriber,Male,2015-10-06 07:14:00,2015-10-06 07:20:00,5.4,55.0,cloudy,50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27.0,174,Canal St & Madison St,41.882091,-87.639833,23.0,Loop,West Loop
14073034,2017,5,20,3,16,Subscriber,Male,2017-05-18 16:12:13,2017-05-18 16:18:33,6.333333333333333,77.0,cloudy,71,Morgan St & Lake St,41.8854833079,-87.6523048564,23.0,174,Canal St & Madison St,41.882091,-87.639833,27.0,West Loop,West Loop
11914114,2016,9,37,4,15,Subscriber,Male,2016-09-16 15:28:15,2016-09-16 15:35:56,7.7,81.0,cloudy,84,Union Ave & Grand Ave,41.89100000000001,-87.645925,19.0,77,Clinton St & Madison St,41.882242,-87.64106600000002,31.0,West Town,West Loop
14185297,2017,5,21,5,16,Subscriber,Male,2017-05-27 16:11:50,2017-05-27 16:16:47,4.95,73.0,cloudy,247,Shore Dr & 55th St,41.795212,-87.580715,19.0,419,Lake Park Ave & 53rd St,41.79949429373,-87.5864498959,15.0,Hyde Park,Hyde Park
14996757,2017,7,27,4,13,Subscriber,Male,2017-07-07 13:35:16,2017-07-07 13:50:29,15.216666666666669,86.0,cloudy,51,Clark St & Randolph St,41.88457623,-87.63188991,39.0,273,Michigan Ave & 18th St,41.857813,-87.62455,23.0,Loop,Near South Side
2540243,2014,7,28,4,19,Subscriber,Female,2014-07-11 19:58:00,2014-07-11 20:03:00,4.75,75.0,cloudy,69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19.0,159,Claremont Ave & Hirsch St,41.907781,-87.685854,11.0,Wicker Park,Wicker Park
14086640,2017,5,20,4,17,Subscriber,Male,2017-05-19 17:37:20,2017-05-19 17:46:49,9.483333333333333,45.0,cloudy,39,Wabash Ave & Adams St,41.87947235235,-87.6256886059,23.0,73,Jefferson St & Monroe St,41.880422,-87.642746,19.0,Loop,West Loop
9577223,2016,5,20,1,12,Subscriber,Male,2016-05-17 12:43:00,2016-05-17 12:52:00,8.316666666666666,50.0,cloudy,186,Ogden Ave & Race Ave,41.891795,-87.658751,15.0,21,Aberdeen St & Jackson Blvd,41.877726,-87.654787,15.0,West Town,West Loop
15059227,2017,7,28,0,13,Subscriber,Female,2017-07-10 13:10:08,2017-07-10 13:16:32,6.4,78.1,cloudy,59,Wabash Ave & Roosevelt Rd,41.867227,-87.625961,23.0,57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15.0,Near South Side,West Loop
5603152,2015,6,24,4,12,Subscriber,Female,2015-06-12 12:51:00,2015-06-12 13:01:00,9.783333333333331,60.1,rain or snow,181,LaSalle St & Illinois St,41.890749,-87.63206,31.0,211,St. Clair St & Erie St,41.894448,-87.622663,19.0,River North,Streeterville
3419256,2014,9,36,1,17,Subscriber,Male,2014-09-02 17:04:00,2014-09-02 17:26:00,22.08333333333333,78.1,cloudy,286,Franklin St & Quincy St,41.878724,-87.634793,15.0,127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15.0,Loop,Sheffield & DePaul
6274951,2015,7,29,3,15,Subscriber,Male,2015-07-16 15:35:00,2015-07-16 15:41:00,6.133333333333334,73.9,cloudy,108,Halsted St & Polk St,41.87184,-87.64664,19.0,19,Loomis St & Taylor St,41.869417,-87.660996,15.0,"Little Italy, UIC","Little Italy, UIC"
6448059,2015,7,30,4,16,Subscriber,Female,2015-07-24 16:17:00,2015-07-24 16:21:00,3.85,82.0,cloudy,240,Sheridan Rd & Irving Park Rd,41.954245,-87.65440600000002,23.0,254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15.0,Lake View,Lake View
1892514,2014,5,22,5,12,Subscriber,Male,2014-05-31 12:56:00,2014-05-31 13:14:00,17.733333333333334,84.9,cloudy,298,Lincoln Ave & Belle Plaine Ave,41.955927,-87.679259,15.0,152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15.0,North Center,Sheffield & DePaul
7153160,2015,8,35,3,18,Subscriber,Male,2015-08-27 18:40:00,2015-08-27 18:56:00,15.6,69.1,cloudy,232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,23.0,463,Clark St & Berwyn Ave,41.97799665,-87.6680471,19.0,Lake View,Andersonville
15595937,2017,8,31,5,8,Subscriber,Male,2017-08-05 08:17:09,2017-08-05 08:22:27,5.3,68.0,cloudy,84,Milwaukee Ave & Grand Ave,41.891578,-87.648384,19.0,133,Kingsbury St & Kinzie St,41.88917683,-87.63850577,31.0,West Town,River North
17201028,2017,11,45,0,18,Subscriber,Male,2017-11-06 18:20:00,2017-11-06 18:38:00,18.666666666666668,39.9,cloudy,54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19.0,89,Financial Pl & Congress Pkwy,41.87500913,-87.63310582,31.0,West Town,Loop
13804405,2017,4,17,2,7,Subscriber,Male,2017-04-26 07:46:31,2017-04-26 07:54:50,8.316666666666666,66.9,cloudy,89,Financial Pl & Congress Pkwy,41.87500913494,-87.63310581889999,31.0,112,Green St & Randolph St,41.883668,-87.64867,15.0,Loop,West Loop
